Subject,Conf_Rat,avg_dev,num_weights,BDev,Mem
55f63fc432af740012171ef6,Med,0.411764706,17,0.551470588,Exp
58066bf52d948b00014ba876,Med,0.181818182,11,0.522727273,Exp
5e9732d6bafec41daaf8fc30,High,0.142857143,8,0.517857143,Exp
5cdcd4ca9f75db0001411660,Low,0.916666667,12,0.614583333,Exp
5c1c137b0739430001693cf5,Med,0.166666667,7,0.520833333,Exp
550bb70bfdf99b6853dab45e,Med,0.2,15,0.525,Exp
5decaac46e09cf3792805023,High,0.117647059,17,0.514705882,Exp
5c454961f5e3bc00014ed20b,Low,0.076923077,14,0.509615385,Exp
5dce29700ad506063969a4a5,High,0,15,0.5,Exp
5ee1327109ae2e4f8e01bd60,Med,1.545454545,11,0.693181818,Exp
576017836442fa0006cfb7cd,High,0,6,0.5,Exp
5ec19dd52abb6a5ce5b9fe05,Med,0.294117647,17,0.536764706,Exp
5d8927d21571f4001c8ce125,Low,-0.9,10,0.3875,Exp
5dde8fba82f458000c8c7c75,High,1.769230769,13,0.721153846,Exp
5ed57ec8141d24118731f1bc,Low,1.555555556,9,0.694444444,Exp
59ad6f1e09709e00013c2ba5,Med,0,15,0.5,Exp
5d5eeb06d8bcde00162d73f1,Med,0.333333333,12,0.541666667,Exp
5ee644b8a00c6d0621d20793,Low,-0.1,10,0.4875,Exp
5e44399336d11f01939401eb,Med,-0.125,17,0.484375,Exp
5ea08654ea87f206588b6b50,Low,1.0625,16,0.6328125,Exp
5de481c2a49875052fcf6dee,Med,0.5,9,0.5625,Exp
5c935d881754ba001b25697a,Low,0.111111111,9,0.513888889,Exp
5eaa605c7c3cbc1f14421a94,Low,-0.090909091,12,0.488636364,Exp
5eda5c5faf7c7f08a2f68cb7,High,-0.666666667,12,0.416666667,Exp
5bef87523d79ff0001275154,Med,0.153846154,13,0.519230769,Exp
5ea77b0161f86b151f475c8f,Med,-0.058823529,17,0.492647059,Exp
5d5067b25371ae00191f69c4,Med,0.181818182,9,0.522727273,Exp
5d78647e4dadc9001a3e34dd,Med,-2.2,10,0.225,Exp
5591cd21fdf99b63126f6c60,High,-1.083333333,12,0.364583333,Exp
5aa806e7777df200016088c5,High,1.181818182,11,0.647727273,Exp
5ef05a7425018a31e8bb3c68,Low,0.8,15,0.6,Exp
5d045502bdeaa5000165e935,Med,0.75,16,0.59375,Exp
5c4de8f726093e000134ee6e,High,0.375,16,0.546875,Exp
5eb2f1a1ce5ba10ab2c0a042,Med,0.8125,16,0.6015625,Exp
5dd1ab5dd3ac2a21600f87b8,Med,1.230769231,16,0.653846154,Exp
5e935ec0ba38620009a3b0d8,Med,0.176470588,17,0.522058824,Exp
5e9a567a22a6fa0ee4cf44f1,Med,1.083333333,13,0.635416667,Exp
5eba34aa6f816b16d72f49e1,High,-0.5,14,0.4375,Exp
5df97abeabec5d6fcbbc764d,High,-0.266666667,15,0.466666667,Exp
5c586f5eee248f00016b7fe7,High,-0.230769231,12,0.471153846,Exp
57656f6c2bfddf000125cce5,High,-0.294117647,17,0.463235294,Exp
5e40774a2ee93c2ae0ecad03,Low,-0.928571429,12,0.383928571,Exp
5e23646fd3ba5760bca7801c,High,-0.470588235,17,0.441176471,Exp
5eeab761609f0d1df85d61bf,Low,-0.461538462,13,0.442307692,Exp
5e8b835818346405e2571585,Med,0.176470588,17,0.522058824,Exp
5dd0c43acaee3e187643d32b,Med,-0.3125,16,0.4609375,Exp
