Subject,Type,Timepoint,Rating,BRat
5c935d881754ba001b25697a,Self,Current,2,0.250114155
5ea9704edf73440535b5e34d,Self,Current,3,0.5
5eaa605c7c3cbc1f14421a94,Self,Current,3,0.5
5eda5c5faf7c7f08a2f68cb7,Self,Current,5,0.999771689
5bef87523d79ff0001275154,Self,Current,1,0.000228311
5ea77b0161f86b151f475c8f,Self,Current,2,0.250114155
5d5067b25371ae00191f69c4,Self,Current,4,0.749885845
5d78647e4dadc9001a3e34dd,Self,Current,1,0.000228311
5591cd21fdf99b63126f6c60,Self,Current,1,0.000228311
5aa806e7777df200016088c5,Self,Current,3,0.5
5ef05a7425018a31e8bb3c68,Self,Current,1,0.000228311
5d045502bdeaa5000165e935,Self,Current,4,0.749885845
5c4de8f726093e000134ee6e,Self,Current,2,0.250114155
5eb2f1a1ce5ba10ab2c0a042,Self,Current,2,0.250114155
5dd1ab5dd3ac2a21600f87b8,Self,Current,4,0.749885845
5e935ec0ba38620009a3b0d8,Self,Current,3,0.5
5e9a567a22a6fa0ee4cf44f1,Self,Current,3,0.5
5eba34aa6f816b16d72f49e1,Self,Current,2,0.250114155
5df97abeabec5d6fcbbc764d,Self,Current,3,0.5
5c586f5eee248f00016b7fe7,Self,Current,4,0.749885845
57656f6c2bfddf000125cce5,Self,Current,2,0.250114155
5e40774a2ee93c2ae0ecad03,Self,Current,3,0.5
5e23646fd3ba5760bca7801c,Self,Current,3,0.5
5eeab761609f0d1df85d61bf,Self,Current,1,0.000228311
5e8b835818346405e2571585,Self,Current,2,0.250114155
5dd0c43acaee3e187643d32b,Self,Current,4,0.749885845
5cfbdcec8483c6001930c1b1,Self,Current,2,0.250114155
5db6ff8c7f9e6b000dd24a19,Self,Current,2,0.250114155
5e2093a7e10aa2000c631268,Self,Current,1,0.000228311
5c8676deddda2d00012ad386,Self,Current,3,0.5
5e876872ca754f08ceb52e9e,Self,Current,3,0.5
5d4702f04f947a0001181420,Self,Current,2,0.250114155
5d62935aacd67c0015b06e8d,Self,Current,1,0.000228311
5cfea2427b91e70001423ffb,Self,Current,1,0.000228311
5daab7a060ac5d0014235b89,Self,Current,2,0.250114155
5ea9024a58a5ae36f0416ed6,Self,Current,2,0.250114155
5ebc75d16a8f8f0c09ba480b,Self,Current,2,0.250114155
5e13d5a0398bb6a1517fab4c,Self,Current,4,0.749885845
5e921c1b451807056a5e85bb,Self,Current,2,0.250114155
5cf7bfff528ef50001e96f69,Self,Current,3,0.5
5e9b061b5eb4e3000a5ebc0b,Self,Current,2,0.250114155
56ec151f388e1d000a5924d0,Self,Current,3,0.5
5e0e32ee1d4607573dc85b1f,Self,Current,4,0.749885845
58474a9c89af6500017f4cd6,Self,Current,2,0.250114155
5ecacb83b7f79d242d455216,Self,Current,4,0.749885845
5e7f64a99b18e463f74b0c91,Self,Current,3,0.5
5e84cf62eabe5c081ea860c5,Self,Current,2,0.250114155
5ea523b2a7782138712c7e1b,Self,Current,4,0.749885845
5e602d66bc402a381b35f74a,Self,Current,3,0.5
5e1276f7e69d0a912635da16,Self,Current,2,0.250114155
5d9373b0e04970001ab482da,Self,Current,1,0.000228311
559ef308fdf99b2616ff2a4f,Self,Current,2,0.250114155
5ca272f5caf59c0001a942cb,Self,Current,4,0.749885845
5b25c819a7cee100011d9091,Self,Current,5,0.999771689
5e3cba059e9d0b0b3663c90c,Self,Current,2,0.250114155
5bd9fed6780d50000109c503,Self,Current,3,0.5
5c801cd6aaf2af0016478e6f,Self,Current,3,0.5
5e614c386ee9b3017b83e4bc,Self,Current,4,0.749885845
5eac2cc56665cc23af76e945,Self,Current,3,0.5
5e9b8957035d900898422c3c,Self,Current,3,0.5
5edbf245e31b590a6e572482,Self,Current,3,0.5
5eb0deb2bd00da19c156f390,Self,Current,3,0.5
5eaf33928c0ee3626f0036e5,Self,Current,3,0.5
5e700bdb6319c15ed8726932,Self,Current,3,0.5
5ec5ba3e981556631c1a78ba,Self,Current,4,0.749885845
5e3889c805856605d1838c21,Self,Current,4,0.749885845
5eefa601e2550709b46a3dff,Self,Current,2,0.250114155
5bcd295277740000016ab0a5,Self,Current,3,0.5
5b15de5cbd9c310001570400,Self,Current,3,0.5
55b237e6fdf99b19ea79d2f7,Self,Current,3,0.5
5db3b031efa9f6000cf02400,Self,Current,1,0.000228311
5e9a600390f4ad0f0f200993,Self,Current,4,0.749885845
5ef110ef74978d1e943f0e7a,Self,Current,3,0.5
5b457ba9eb64c200015bbab1,Self,Current,2,0.250114155
5ea3b1b9fc11ed33dde53561,Self,Current,1,0.000228311
5c8e1af5c6e10f00010d6212,Self,Current,5,0.999771689
5f5834134283933a1c3b42d0,Self,Current,3,0.5
5ee150a384b8a1164fef6273,Self,Current,2,0.250114155
5eee3a583a975d29fd3e6f38,Self,Current,3,0.5
5c82d0ac51b0e00015cbd2fc,Self,Current,3,0.5
58ac890076c5b70001662993,Self,Current,2,0.250114155
5bddd64b48428800013061a6,Self,Current,3,0.5
5ee100c8ac33db0e30697284,Self,Current,2,0.250114155
5c1bc0ab84ff14000184c2ce,Self,Current,2,0.250114155
5d849ee0a954540019f513dd,Self,Current,3,0.5
5f4d1371c20934977e621ac3,Self,Current,1,0.000228311
5f4ee7ff2c5da213f015a27e,Self,Current,4,0.749885845
5d74001d391b6600175f433b,Self,Current,2,0.250114155
5484fd09fdf99b38dfb9645c,Self,Current,3,0.5
5f5d967f60d7fa5fdca4cc4f,Self,Current,2,0.250114155
559d9916fdf99b1e2b2dc6b8,Self,Current,3,0.5
5a03d20a7ecfc50001be0a7a,Self,Current,2,0.250114155
5e2a425609072a0abb76094b,Self,Current,2,0.250114155
5dcf0e94fce60605794da411,Self,Current,3,0.5
5ee8fdbb6b0e1325a483f9fa,Self,Current,3,0.5
5f3b4854ac7ac783ce22070e,Self,Current,3,0.5
5f3ed5c238cf461818f961b0,Self,Current,3,0.5
5c6319a0b73d590001ae789d,Self,Current,3,0.5
5e38e79295ff561112eae457,Self,Current,2,0.250114155
5a91877e777df200015fa0f5,Self,Current,1,0.000228311
5f4a7a00dc1bde60ab8f7ac5,Self,Current,2,0.250114155
5e6da92a65f32b372cf0fbdc,Self,Current,1,0.000228311
5f6e36c7f042f033d0f97bc1,Self,Current,2,0.250114155
5f59dc445d3541000c150f40,Self,Current,1,0.000228311
5cfdd7d53ca1bb00011030d4,Self,Current,3,0.5
5825ecee95f3030001cf889a,Self,Current,1,0.000228311
5dcaf5db575da17c63ebb51b,Self,Current,2,0.250114155
5f7392562b5e060e795d20db,Self,Current,2,0.250114155
56f9364e895094000c8f4967,Self,Current,2,0.250114155
56259489ed6e5a0005c80fde,Self,Current,2,0.250114155
5ee2c239f4ec4b804a79cf80,Self,Current,4,0.749885845
5bdbf2d92562330001b8d056,Self,Current,1,0.000228311
5ace650a436f550001004f87,Self,Current,2,0.250114155
5f94a8e7fa8c422fc88940b0,Self,Current,3,0.5
5e63e24eaf3bd51660031dbe,Self,Current,3,0.5
5d8fea94efcbb5001756364b,Self,Current,3,0.5
5e4dd61e228f8723566e06d4,Self,Current,1,0.000228311
5f4c4b277200c9868db9d43f,Self,Current,2,0.250114155
5f49f3262a3d07563d14a7f1,Self,Current,3,0.5
5ee09c1a0c2ad1027f541f53,Self,Current,3,0.5
5ef1980b60a4447bc1a5408c,Self,Current,4,0.749885845
5daa6f580d55870011370fd3,Self,Current,3,0.5
5d305152b2cfe00019231a2a,Self,Current,3,0.5
56fa002e8425ef000b3a4276,Self,Current,4,0.749885845
5ec2feeb47c4471339d3b2ce,Self,Current,4,0.749885845
5e9fc65dee2ccf178f0e413f,Self,Current,3,0.5
5d264dc7e4a0cb001a3efea6,Self,Current,4,0.749885845
5f7d3ace29e51d20f794994a,Self,Current,4,0.749885845
5e28e8730fd86a0a19e084cd,Self,Current,1,0.000228311
5f2a12f5837dd81e5881b7cc,Self,Current,1,0.000228311
5a49d6a06d85f80001c25bc4,Self,Current,1,0.000228311
5e1c138a2bf9514062e4de6b,Self,Current,3,0.5
5f16f559325a640008bb9a07,Self,Current,3,0.5
5f4c5105ad5ee685d48bcca2,Self,Current,1,0.000228311
5f2853a8e736e613955f73bf,Self,Current,3,0.5
