Subject,TP,Question,Rating
5d5eeb06d8bcde00162d73f1,Now,DecreasedInPersonVisits,0.250171939
5ee644b8a00c6d0621d20793,Now,DecreasedInPersonVisits,0.5
5e44399336d11f01939401eb,Now,DecreasedInPersonVisits,0.250171939
5ea08654ea87f206588b6b50,Now,DecreasedInPersonVisits,0.749828061
5de481c2a49875052fcf6dee,Now,DecreasedInPersonVisits,0.5
5c935d881754ba001b25697a,Now,DecreasedInPersonVisits,0.000343879
5ea9704edf73440535b5e34d,Now,DecreasedInPersonVisits,NA
5eaa605c7c3cbc1f14421a94,Now,DecreasedInPersonVisits,0.749828061
5eda5c5faf7c7f08a2f68cb7,Now,DecreasedInPersonVisits,0.5
5bef87523d79ff0001275154,Now,DecreasedInPersonVisits,0.000343879
5ea77b0161f86b151f475c8f,Now,DecreasedInPersonVisits,0.250171939
5d5067b25371ae00191f69c4,Now,DecreasedInPersonVisits,0.5
5d78647e4dadc9001a3e34dd,Now,DecreasedInPersonVisits,0.5
5591cd21fdf99b63126f6c60,Now,DecreasedInPersonVisits,0.250171939
5aa806e7777df200016088c5,Now,DecreasedInPersonVisits,0.749828061
5ef05a7425018a31e8bb3c68,Now,DecreasedInPersonVisits,0.000343879
5d045502bdeaa5000165e935,Now,DecreasedInPersonVisits,0.5
5c4de8f726093e000134ee6e,Now,DecreasedInPersonVisits,0.250171939
5eb2f1a1ce5ba10ab2c0a042,Now,DecreasedInPersonVisits,0.000343879
5dd1ab5dd3ac2a21600f87b8,Now,DecreasedInPersonVisits,0.000343879
5e935ec0ba38620009a3b0d8,Now,DecreasedInPersonVisits,0.999656121
5e9a567a22a6fa0ee4cf44f1,Now,DecreasedInPersonVisits,0.5
5eba34aa6f816b16d72f49e1,Now,DecreasedInPersonVisits,0.5
5df97abeabec5d6fcbbc764d,Now,DecreasedInPersonVisits,0.749828061
5c586f5eee248f00016b7fe7,Now,DecreasedInPersonVisits,0.999656121
57656f6c2bfddf000125cce5,Now,DecreasedInPersonVisits,0.250171939
5e40774a2ee93c2ae0ecad03,Now,DecreasedInPersonVisits,0.000343879
5e23646fd3ba5760bca7801c,Now,DecreasedInPersonVisits,0.749828061
5eeab761609f0d1df85d61bf,Now,DecreasedInPersonVisits,0.5
5e8b835818346405e2571585,Now,DecreasedInPersonVisits,0.749828061
5dd0c43acaee3e187643d32b,Now,DecreasedInPersonVisits,0.000343879
5cfbdcec8483c6001930c1b1,Now,DecreasedInPersonVisits,0.000343879
5db6ff8c7f9e6b000dd24a19,Now,DecreasedInPersonVisits,0.250171939
5e2093a7e10aa2000c631268,Now,DecreasedInPersonVisits,0.000343879
5c8676deddda2d00012ad386,Now,DecreasedInPersonVisits,0.999656121
5e876872ca754f08ceb52e9e,Now,DecreasedInPersonVisits,0.5
